Diagnosis,Description,0,2,4,6,8,10
d_300,"Anxiety, dissociative and somatoform disorders",0.643133044,0.691678076,0.699589266,0.706076579,0.707062626,0.712033075
d_303,Alcohol dependence syndrome,0.813119253,0.847580322,0.857626133,0.858879946,0.855012283,0.860388881
d_305,Nondependent abuse of drugs,0.673168729,0.714365822,0.744129468,0.744584351,0.730911702,0.721896128
d_311,"Depressive disorder, not elsewhere classified",0.613264934,0.649227094,0.669653782,0.674450759,0.670249992,0.669653132
d_327,Sleep disorders,0.694494115,0.742904384,0.764740579,0.765379549,0.757748353,0.761094374
d_338,PAIN ,0.705256215,0.761264492,0.786851472,0.780073682,0.765969623,0.7688684
d_345,Epilepsy and recurrent seizures,0.700212476,0.753536718,0.751515736,0.745704635,0.74513072,0.743793662
d_348,Other conditions of brain,0.611662766,0.647229801,0.660978892,0.656905426,0.650945459,0.647768263
d_357,Inflammatory and toxic neuropathy,0.787922208,0.817173009,0.816533894,0.820444815,0.82081983,0.812841912
d_362,Other retinal disorders,0.753066081,0.773694442,0.788150759,0.803200198,0.808203895,0.806441914
d_401,Essential hypertension,0.564868112,0.614341871,0.638926661,0.646567572,0.648539958,0.641734721
d_403,Hypertensive chronic kidney disease,0.69925359,0.771627092,0.811892088,0.82978608,0.845303412,0.845097837
d_410,Acute myocardial infarction,0.676999409,0.704288142,0.7047235,0.696125485,0.687546602,0.676780381
d_412,Old myocardial infarction,0.660800851,0.693277885,0.693495167,0.691672378,0.695662364,0.694438018
d_414,Other forms of chronic ischemic heart disease,0.734737129,0.771987706,0.788429641,0.795159637,0.796066926,0.796375178
d_416,Chronic pulmonary heart disease,0.650407143,0.705875311,0.724354203,0.735309641,0.740260734,0.73857324
d_424,Other diseases of endocardium,0.65284955,0.689768178,0.709548947,0.701774183,0.694290811,0.685469739
d_425,Cardiomyopathy,0.647938168,0.687359413,0.695891884,0.691292871,0.692646475,0.688322351
d_427,Cardiac dysrhythmias,0.639069303,0.70774538,0.722993062,0.730279708,0.730160266,0.725156165
d_428,Heart failure,0.70716507,0.748865298,0.76476231,0.779216103,0.782961996,0.787008276
d_438,Late effects of cerebrovascular disease,0.613478909,0.677032,0.731598688,0.737282846,0.74493389,0.745134051
d_440,Atherosclerosis,0.690122847,0.744407019,0.758973808,0.74766551,0.738636251,0.72908449
d_441,Aortic aneurysm and dissection,0.713567663,0.745749012,0.750983164,0.730140088,0.713016028,0.705626887
d_443,Other peripheral vascular disease,0.596858504,0.676574032,0.705470249,0.704691232,0.703589162,0.692677167
d_453,Other venous embolism and thrombosis,0.500286115,0.508075769,0.560057687,0.576676293,0.586514807,0.586484346
d_456,Varicose veins of other sites,0.914809931,0.91520654,0.91943535,0.919005901,0.912543324,0.91070364
d_458,Hypotension,0.524231569,0.558598353,0.579643666,0.587114994,0.588042746,0.595089648
d_482,Other bacterial pneumonia,0.530033104,0.584679797,0.638202018,0.657511584,0.674449749,0.666956563
d_486,"Pneumonia, organism unspecified",0.552741264,0.584722703,0.596985793,0.605008564,0.605402192,0.607776722
d_491,Chronic bronchitis,0.788667486,0.80006402,0.793587625,0.782794575,0.782919791,0.778057552
d_493,Asthma,0.614278483,0.648561068,0.68153036,0.693859484,0.700193681,0.698116388
d_496,"Chronic airway obstruction, not elsewhere classified",0.578724113,0.635614485,0.650772263,0.661774682,0.666631035,0.664383681
d_507,Pneumonitis due to solids and liquids,0.538135941,0.584268927,0.6112134,0.624442582,0.631668281,0.629216183
d_511,Pleurisy,0.50437534,0.52574893,0.566872423,0.590904123,0.590820498,0.595183586
d_518,Other diseases of lung,0.517003757,0.546933659,0.572513434,0.590606733,0.602765651,0.609957876
d_519,Other diseases of respiratory system,0.698737639,0.720248615,0.722069395,0.748767007,0.744535031,0.746016551
d_530,Diseases of esophagus,0.559142752,0.592270167,0.608678457,0.615253391,0.618861295,0.619844654
d_560,Intestinal obstruction without mention of hernia,0.533133487,0.590391569,0.594927426,0.583944568,0.579936577,0.581891579
d_562,Diverticula of intestine,0.568945679,0.619265899,0.665772946,0.671823262,0.668172913,0.670837533
d_564,"Functional digestive disorders, not elsewhere classified",0.579327373,0.648955918,0.674355141,0.684008707,0.692089284,0.688981448
d_569,Other disorders of intestine,0.5687095,0.636222724,0.645865359,0.655484837,0.655355257,0.662568387
d_571,Chronic liver disease and cirrhosis,0.788956086,0.828178222,0.839275014,0.835276956,0.829380876,0.829170116
d_572,Liver abscess and sequelae of chronic liver disease,0.818666938,0.85747582,0.86489117,0.861855108,0.859044667,0.858105256
d_577,Diseases of pancreas,0.558948445,0.598394091,0.632784183,0.640967688,0.657546886,0.672814326
d_578,Gastrointestinal hemorrhage,0.571926199,0.592981265,0.6129103,0.617564777,0.619305525,0.609715944
d_584,Acute renal failure,0.528334669,0.579435325,0.613457659,0.634003082,0.650024271,0.65735409
d_585,Chronic kidney disease (CKD),0.63172703,0.706837994,0.757269674,0.789433644,0.80458763,0.817449457
d_599,Other disorders of urethra and urinary tract,0.499676933,0.540244962,0.57252428,0.596413342,0.612940962,0.621930891
d_600,Hyperplasia of prostate,0.598775583,0.678979464,0.714512318,0.723849856,0.733508809,0.728027381
d_682,Other cellulitis and abscess,0.477165648,0.502421245,0.53680811,0.554078996,0.577552339,0.592935503
d_707,Chronic ulcer of skin,0.540251542,0.575144191,0.610073528,0.65770076,0.679988336,0.690568863
d_715,Osteoarthrosis and allied disorders,0.603479,0.672616533,0.705559602,0.697178927,0.688060209,0.679947196
d_733,Other disorders of bone and cartilage,0.576384447,0.632409799,0.677121147,0.677751552,0.672279054,0.672509873
d_995,Certain adverse effects not elsewhere classified,0.482777277,0.527950106,0.582126483,0.623727044,0.650868131,0.665424625
d_996,Complications peculiar to certain specified procedures,0.505513793,0.542151797,0.564198025,0.588525244,0.595741535,0.602091132
d_997,"Complications affecting specified body systems, not elsewhere classified",0.52229582,0.531377724,0.555957183,0.572099493,0.575030565,0.573363794
d_998,"Other complications of procedures, NEC",0.483463938,0.523360995,0.556559085,0.575634427,0.58946813,0.592116549
d_E8798,Not Found,0.47712847,0.52365772,0.586932523,0.620281411,0.627809999,0.629921914
